    INFO: 2024-05-03 12:08:59,590:               log.py:   20: Logging to /Volumes/PoorHouseProject/Học Thạc sĩ/giao tiếp/exam-generator/mdpdf.log
   DEBUG: 2024-05-03 12:08:59,590:               cli.py:  103: __temp.md
    INFO: 2024-05-03 12:08:59,595:         converter.py:   14: __temp.md
   DEBUG: 2024-05-03 12:08:59,604:      pdf_renderer.py:  470: printSegment: 1.   Trong Java, câu lệnh nào dùng để khai báo một biến kiểu số nguyên?
   DEBUG: 2024-05-03 12:08:59,623:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-05-03 12:08:59,625:      pdf_renderer.py:  470: printSegment: [
   DEBUG: 2024-05-03 12:08:59,627:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2024-05-03 12:08:59,627:      pdf_renderer.py:  470: printSegment: ]
   DEBUG: 2024-05-03 12:08:59,628:      pdf_renderer.py:  470: printSegment:  int
   DEBUG: 2024-05-03 12:08:59,629:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-05-03 12:08:59,629:      pdf_renderer.py:  470: printSegment: [
   DEBUG: 2024-05-03 12:08:59,630:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2024-05-03 12:08:59,630:      pdf_renderer.py:  470: printSegment: ]
   DEBUG: 2024-05-03 12:08:59,631:      pdf_renderer.py:  470: printSegment:  integer
   DEBUG: 2024-05-03 12:08:59,632:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-05-03 12:08:59,632:      pdf_renderer.py:  470: printSegment: [
   DEBUG: 2024-05-03 12:08:59,633:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2024-05-03 12:08:59,633:      pdf_renderer.py:  470: printSegment: ]
   DEBUG: 2024-05-03 12:08:59,634:      pdf_renderer.py:  470: printSegment:  String
   DEBUG: 2024-05-03 12:08:59,634:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-05-03 12:08:59,635:      pdf_renderer.py:  470: printSegment: [
   DEBUG: 2024-05-03 12:08:59,635:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2024-05-03 12:08:59,636:      pdf_renderer.py:  470: printSegment: ]
   DEBUG: 2024-05-03 12:08:59,636:      pdf_renderer.py:  470: printSegment:  double
   DEBUG: 2024-05-03 12:08:59,637:      pdf_renderer.py:  470: printSegment: 2.   Để thực hiện một vòng lặp trong Java, chúng ta sử dụng từ khóa nào sau đây?
   DEBUG: 2024-05-03 12:08:59,650:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-05-03 12:08:59,650:      pdf_renderer.py:  470: printSegment: [
   DEBUG: 2024-05-03 12:08:59,651:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2024-05-03 12:08:59,652:      pdf_renderer.py:  470: printSegment: ]
   DEBUG: 2024-05-03 12:08:59,652:      pdf_renderer.py:  470: printSegment:  foreach
   DEBUG: 2024-05-03 12:08:59,653:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-05-03 12:08:59,653:      pdf_renderer.py:  470: printSegment: [
   DEBUG: 2024-05-03 12:08:59,654:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2024-05-03 12:08:59,654:      pdf_renderer.py:  470: printSegment: ]
   DEBUG: 2024-05-03 12:08:59,655:      pdf_renderer.py:  470: printSegment:  while
   DEBUG: 2024-05-03 12:08:59,655:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-05-03 12:08:59,656:      pdf_renderer.py:  470: printSegment: [
   DEBUG: 2024-05-03 12:08:59,656:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2024-05-03 12:08:59,657:      pdf_renderer.py:  470: printSegment: ]
   DEBUG: 2024-05-03 12:08:59,657:      pdf_renderer.py:  470: printSegment:  for
   DEBUG: 2024-05-03 12:08:59,658:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-05-03 12:08:59,659:      pdf_renderer.py:  470: printSegment: [
   DEBUG: 2024-05-03 12:08:59,659:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2024-05-03 12:08:59,660:      pdf_renderer.py:  470: printSegment: ]
   DEBUG: 2024-05-03 12:08:59,660:      pdf_renderer.py:  470: printSegment:  loop
   DEBUG: 2024-05-03 12:08:59,661:      pdf_renderer.py:  470: printSegment: 3.   Phương thức nào được sử dụng để lấy độ dài của một chuỗi trong Java?
   DEBUG: 2024-05-03 12:08:59,662:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-05-03 12:08:59,663:      pdf_renderer.py:  470: printSegment: [
   DEBUG: 2024-05-03 12:08:59,663:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2024-05-03 12:08:59,664:      pdf_renderer.py:  470: printSegment: ]
   DEBUG: 2024-05-03 12:08:59,664:      pdf_renderer.py:  470: printSegment:  getLength()
   DEBUG: 2024-05-03 12:08:59,665:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-05-03 12:08:59,666:      pdf_renderer.py:  470: printSegment: [
   DEBUG: 2024-05-03 12:08:59,666:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2024-05-03 12:08:59,667:      pdf_renderer.py:  470: printSegment: ]
   DEBUG: 2024-05-03 12:08:59,667:      pdf_renderer.py:  470: printSegment:  size()
   DEBUG: 2024-05-03 12:08:59,668:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-05-03 12:08:59,668:      pdf_renderer.py:  470: printSegment: [
   DEBUG: 2024-05-03 12:08:59,669:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2024-05-03 12:08:59,670:      pdf_renderer.py:  470: printSegment: ]
   DEBUG: 2024-05-03 12:08:59,670:      pdf_renderer.py:  470: printSegment:  length()
   DEBUG: 2024-05-03 12:08:59,671:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-05-03 12:08:59,671:      pdf_renderer.py:  470: printSegment: [
   DEBUG: 2024-05-03 12:08:59,672:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2024-05-03 12:08:59,673:      pdf_renderer.py:  470: printSegment: ]
   DEBUG: 2024-05-03 12:08:59,673:      pdf_renderer.py:  470: printSegment:  length
   DEBUG: 2024-05-03 12:08:59,674:      pdf_renderer.py:  470: printSegment: 4.   Trong Java, các phương thức và thuộc tính được gọi tổng chung với thuật ngữ nào sau đây?
   DEBUG: 2024-05-03 12:08:59,675:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-05-03 12:08:59,675:      pdf_renderer.py:  470: printSegment: [
   DEBUG: 2024-05-03 12:08:59,676:      pdf_renderer.py:  470: printSegment:  
